onbook_date,price,cont_vol_ask,cont_vol_bid,close_vol_ask,close_vol_bid,cum_ask,cum_bid,total,,difference,
03/01/2019,18.3,,9332,,17160,3980212, 1'641'862.00 , 5'622'074.00 , -1'149'491.00 , 2'338'350.00 , 2'329'336.00 
03/01/2019,18.31,,4000,,4000,3980212, 1'645'862.00 , 5'626'074.00 , -1'145'491.00 , 2'334'350.00 , 2'325'336.00 
03/01/2019,18.315,,,,20925,3980212, 1'666'787.00 , 5'646'999.00 , -1'124'566.00 , 2'313'425.00 , 2'304'411.00 
03/01/2019,18.32,,5460,,161,3980212, 1'666'948.00 , 5'647'160.00 , -1'124'405.00 , 2'313'264.00 , 2'304'250.00 
03/01/2019,18.325,,,5290,13836,3980212, 1'680'784.00 , 5'660'996.00 , -1'110'569.00 , 2'299'428.00 , 2'290'414.00 
03/01/2019,18.33,,,,39717,3974922, 1'720'501.00 , 5'695'423.00 , -1'076'142.00 , 2'254'421.00 , 2'245'407.00 
03/01/2019,18.335,,,5261,2586,3974922, 1'723'087.00 , 5'698'009.00 , -1'073'556.00 , 2'251'835.00 , 2'242'821.00 
03/01/2019,18.34,,3062,,,3969661, 1'723'087.00 , 5'692'748.00 , -1'078'817.00 , 2'246'574.00 , 2'237'560.00 
03/01/2019,18.345,,,,14035,3969661, 1'737'122.00 , 5'706'783.00 , -1'064'782.00 , 2'232'539.00 , 2'223'525.00 
03/01/2019,18.35,,,,34333,3969661, 1'771'455.00 , 5'741'116.00 , -1'030'449.00 , 2'198'206.00 , 2'189'192.00 
03/01/2019,18.355,,,,13031,3969661, 1'784'486.00 , 5'754'147.00 , -1'017'418.00 , 2'185'175.00 , 2'176'161.00 
03/01/2019,18.36,,5271,,5616,3969661, 1'790'102.00 , 5'759'763.00 , -1'011'802.00 , 2'179'559.00 , 2'170'545.00 
03/01/2019,18.365,,,,24417,3969661, 1'814'519.00 , 5'784'180.00 , -987'385.00 , 2'155'142.00 , 2'146'128.00 
03/01/2019,18.37,,,,39065,3969661, 1'853'584.00 , 5'823'245.00 , -948'320.00 , 2'116'077.00 , 2'107'063.00 
03/01/2019,18.375,,,,345,3969661, 1'853'929.00 , 5'823'590.00 , -947'975.00 , 2'115'732.00 , 2'106'718.00 
03/01/2019,18.38,,3000,,55993,3969661, 1'909'922.00 , 5'879'583.00 , -891'982.00 , 2'059'739.00 , 2'050'725.00 
03/01/2019,18.385,,,23106,32596,3969661, 1'942'518.00 , 5'912'179.00 , -859'386.00 , 2'027'143.00 , 2'018'129.00 
03/01/2019,18.39,,5048,,36074,3946555, 1'978'592.00 , 5'925'147.00 , -846'418.00 , 1'967'963.00 , 1'958'949.00 
03/01/2019,18.395,,5165,,173279,3946555, 2'151'871.00 , 6'098'426.00 , -673'139.00 , 1'794'684.00 , 1'785'670.00 
03/01/2019,18.4,,8561,,5790,3946555, 2'157'661.00 , 6'104'216.00 , -667'349.00 , 1'788'894.00 , 1'779'880.00 
03/01/2019,18.405,,2697,,18966,3946555, 2'176'627.00 , 6'123'182.00 , -648'383.00 , 1'769'928.00 , 1'760'914.00 
03/01/2019,18.41,,2593,17439,41745,3946555, 2'218'372.00 , 6'164'927.00 , -606'638.00 , 1'728'183.00 , 1'719'169.00 
03/01/2019,18.415,,8049,15933,45881,3929116, 2'264'253.00 , 6'193'369.00 , -578'196.00 , 1'664'863.00 , 1'655'849.00 
03/01/2019,18.42,,6483,,23617,3913183, 2'287'870.00 , 6'201'053.00 , -570'512.00 , 1'625'313.00 , 1'616'299.00 
03/01/2019,18.425,,2467,,19614,3913183, 2'307'484.00 , 6'220'667.00 , -550'898.00 , 1'605'699.00 , 1'596'685.00 
03/01/2019,18.43,,2558,209,59895,3913183, 2'367'379.00 , 6'280'562.00 , -491'003.00 , 1'545'804.00 , 1'536'790.00 
03/01/2019,18.435,,2716,,27197,3912974, 2'394'576.00 , 6'307'550.00 , -464'015.00 , 1'518'398.00 , 1'509'384.00 
03/01/2019,18.44,,14606,,193674,3912974, 2'588'250.00 , 6'501'224.00 , -270'341.00 , 1'324'724.00 , 1'315'710.00 
03/01/2019,18.445,,3987,,53929,3912974, 2'642'179.00 , 6'555'153.00 , -216'412.00 , 1'270'795.00 , 1'261'781.00 
03/01/2019,18.45,,4809,15898,25965,3912974, 2'668'144.00 , 6'581'118.00 , -190'447.00 , 1'244'830.00 , 1'235'816.00 
03/01/2019,18.455,,9075,3448,23041,3897076, 2'691'185.00 , 6'588'261.00 , -183'304.00 , 1'205'891.00 , 1'196'877.00 
03/01/2019,18.46,,11171,11301,8919,3893628, 2'700'104.00 , 6'593'732.00 , -177'833.00 , 1'193'524.00 , 1'184'510.00 
03/01/2019,18.465,,10864,20344,13397,3882327, 2'713'501.00 , 6'595'828.00 , -175'737.00 , 1'168'826.00 , 1'159'812.00 
03/01/2019,18.47,,8325,130822,196081,3861983, 2'909'582.00 , 6'771'565.00 , -   , 952'401.00 , 943'387.00 
03/01/2019,18.475,,14013,4800,5504,3731161, 2'915'086.00 , 6'646'247.00 , -125'318.00 , 816'075.00 , 807'061.00 
03/01/2019,18.48,,3139,,19121,3726361, 2'934'207.00 , 6'660'568.00 , -110'997.00 , 792'154.00 , 783'140.00 
03/01/2019,18.485,,7280,4800,32564,3726361, 2'966'771.00 , 6'693'132.00 , -78'433.00 , 759'590.00 , 750'576.00 
03/01/2019,18.49,,9805,50253,22574,3721561, 2'989'345.00 , 6'710'906.00 , -60'659.00 , 732'216.00 , 723'202.00 
03/01/2019,18.495,,7174,3457,64517,3671308, 3'053'862.00 , 6'725'170.00 , -46'395.00 , 617'446.00 , 608'432.00 
03/01/2019,18.5,,14629,45060,1977,3667851, 3'055'839.00 , 6'723'690.00 , -47'875.00 , 612'012.00 , 602'998.00 
03/01/2019,18.505,,6004,4800,65555,3622791, 3'121'394.00 , 6'744'185.00 , -27'380.00 , 501'397.00 , 492'383.00 
03/01/2019,18.51,,3882,55053,4092,3617991, 3'125'486.00 , 6'743'477.00 , -28'088.00 , 492'505.00 , 483'491.00 
03/01/2019,18.515,,,65125,13431,3562938, 3'138'917.00 , 6'701'855.00 , -69'710.00 , 424'021.00 , 415'007.00 
03/01/2019,18.52,7236,,16622,23090,3497813, 3'162'007.00 , 6'659'820.00 , -111'745.00 , 335'806.00 , 326'792.00 
03/01/2019,18.525,8746,,3025,8215,3481191, 3'170'222.00 , 6'651'413.00 , -120'152.00 , 310'969.00 , 301'955.00 
03/01/2019,18.53,12283,,72345,3156,3478166, 3'173'378.00 , 6'651'544.00 , -120'021.00 , 304'788.00 , 295'774.00 
03/01/2019,18.535,8467,,983,600,3405821, 3'173'978.00 , 6'579'799.00 , -191'766.00 , 231'843.00 , 222'829.00 
03/01/2019,18.54,10374,,170515,8976,3404838, 3'182'954.00 , 6'587'792.00 , -183'773.00 , 221'884.00 , 212'870.00 
